FIPStxt,State,Area_Name,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2014,CI90LBAll_2014,CI90UBALL_2014,PCTPOVALL_2014,CI90LBALLP_2014,CI90UBALLP_2014,POV017_2014,CI90LB017_2014,CI90UB017_2014,PCTPOV017_2014,CI90LB017P_2014,CI90UB017P_2014,POV517_2014,CI90LB517_2014,CI90UB517_2014,PCTPOV517_2014,CI90LB517P_2014,CI90UB517P_2014,MEDHHINC_2014,CI90LBINC_2014,CI90UBINC_2014,POV05_2014,CI90LB05_2014,CI90UB05_2014,PCTPOV05_2014,CI90LB05P_2014,CI90UB05P_2014
00000,US,United States,,,,,"48208,387","47966,830","48449,944",15.5,15.4,15.6,"15686,012","15564,145","15807,879",21.7,21.5,21.9,"10714,518","10632,252","10796,784",20.4,20.2,20.6,"53657","53564","53750","4658,187","4609,104","4707,270",23.9,23.7,24.1
01000,AL,Alabama,,,,,"905682","888317","923047",19.2,18.8,19.6,"298682","290188","307176",27.4,26.6,28.2,"207154","199920","214388",25.9,25.0,26.8,"42917","42335","43499","88203","83938","92468",30.6,29.1,32.1
01001,AL,Autauga County,2,2,2,2,"7204","5845","8563",13.1,10.6,15.6,"2505","1928","3082",18.1,13.9,22.3,"1832","1417","2247",17.4,13.5,21.3,"54366","50916","57816",,,,,,
01003,AL,Baldwin County,4,5,3,2,"25696","21539","29853",13.0,10.9,15.1,"8637","6788","10486",19.8,15.6,24.0,"6118","4773","7463",18.7,14.6,22.8,"49626","46516","52736",,,,,,
01005,AL,Barbour County,6,6,6,6,"5943","4539","7347",25.4,19.4,31.4,"2137","1666","2608",38.1,29.7,46.5,"1521","1180","1862",37.0,28.7,45.3,"34971","32475","37467",,,,,,
01007,AL,Bibb County,1,1,1,1,"3666","2752","4580",18.1,13.6,22.6,"1237",933,"1541",26.8,20.2,33.4,866,651,"1081",25.2,18.9,31.5,"39546","36344","42748",,,,,,
01009,AL,Blount County,1,1,1,1,"10000","8513","11487",17.5,14.9,20.1,"3241","2649","3833",24.1,19.7,28.5,"2248","1812","2684",22.5,18.1,26.9,"45567","41885","49249",,,,,,
01011,AL,Bullock County,6,6,6,6,"3179","2474","3884",35.1,27.3,42.9,980,762,"1198",43.1,33.5,52.7,649,492,806,40.4,30.6,50.2,"26580","23720","29440",,,,,,
01013,AL,Butler County,6,6,6,6,"4988","4098","5878",25.0,20.5,29.5,"1735","1418","2052",36.7,30.0,43.4,"1235","1004","1466",35.3,28.7,41.9,"32512","29470","35554",,,,,,
01015,AL,Calhoun County,3,2,3,2,"23114","20246","25982",20.5,18.0,23.0,"7080","5824","8336",28.1,23.1,33.1,"4738","3784","5692",25.4,20.3,30.5,"41123","39130","43116",,,,,,
01017,AL,Chambers County,6,5,6,5,"7170","5900","8440",21.3,17.5,25.1,"2255","1776","2734",31.6,24.9,38.3,"1562","1202","1922",30.2,23.3,37.1,"34116","31147","37085",,,,,,
01019,AL,Cherokee County,8,6,6,6,"4768","3840","5696",18.6,15.0,22.2,"1462","1129","1795",27.9,21.5,34.3,"1019",776,"1262",25.4,19.3,31.5,"38013","34618","41408",,,,,,
01021,AL,Chilton County,1,1,1,1,"7874","6373","9375",18.1,14.6,21.6,"2896","2239","3553",27.6,21.3,33.9,"2070","1587","2553",26.9,20.6,33.2,"41450","37827","45073",,,,,,
